year,major,percent
2015,Mechanical Engineering,0.14012590347400328
2015,Information Science,0.16472303206997085
2015,Game Design,0.18867924528301888
2015,Information Assurance/Cybersecurity,0.20657276995305165
2015,Computer Science,0.17291261563844204
2015,Aerospace Engineering,0.175054704595186
2015,Management Information Systems,0.2482394366197183
2015,Web Design ,0.625
2015,Engineering Technology,0.15855733242599523
2015,Data Science,0.345679012345679
2015,Computer Science ,0.13333333333333333
2015,Computer Science + X,0.2559241706161137
2015,Informatics,0.21390374331550802
2015,Industrial Distribution,0.2048780487804878
2015,Information Technology,0.17328042328042328
2015,Civil Engineering,0.25890529973935705
2015,Computational Biology,0.6875
2015,CS and/or Eng Multiple Majors (data submitted in aggregation),0.1839389226636505
2015,Electrical and Computer Engineering,0.14404049700874366
2015,Computer Software and Media Applications,0.29987129987129985
2015,Computer Science / Engineering,0.11155913978494623
2015,Electrical, Electronics and Communications Engineering,0.16237113402061856
2015,Software Engineering,0.08819875776397515
2015,Computer Engineering,0.0999657651489216
2015,Electrical & Computer Engineering,0.20168067226890757
2015,Computer Science (BS),0.17507418397626112
2001,CS and/or Eng Multiple Majors (data submitted in aggregation),0.12552011095700416
2016,General Engineering ,0.18373493975903615
2016,Electrical Engineering,0.12063282794990111
2016,Mechanical Engineering,0.14375244810027418
2016,Information Science,0.18309859154929578
2016,Computer Science,0.23277710450265685
2016,Management Information Systems,0.1383399209486166
2016,Web Design ,0.5714285714285714
2016,Computer Science + X,0.4955357142857143
2016,Information Technology,0.18403115871470302
2016,Civil Engineering,0.2498048399687744
2016,CS and/or Eng Multiple Majors (data submitted in aggregation),0.16901408450704225
2016,Electrical and Computer Engineering,0.13949275362318841
2016,Computer Software and Media Applications,0.3346774193548387
2016,Software Engineering,0.100418410041841
2016,Computer Engineering,0.10995024875621891
2016,Electrical & Computer Engineering,0.19156540385989992
2002,CS and/or Eng Multiple Majors (data submitted in aggregation),0.10571768910065515
2008,Computer Systems Engineering,0.09627329192546584
2008,Mathematics and Computer Science,0.3333333333333333
2008,Computer Science (BA),0.1878453038674033
2008,Electrical Engineering,0.09807305148116192
2008,Computer Information Systems,0.17661691542288557
2008,Mechanical Engineering,0.09852424455375966
2008,Applied Engineering Sciences,0.3171428571428571
2008,Information Science,0.25396825396825395
2008,Information Assurance/Cybersecurity,0.2222222222222222
2008,Computer Science,0.12064759370148592
